Misma_SID_G1,Misma_SID_G2,Misma_SID_G3
OLOXO-Q,DUNES-Q,DALIN-Q
NATPI-Q,LARPA-Q,AGENA-Q
MOPAS-Q,LOTOS-Q,DIPES-Q
GRAUS-Q,SENIA-Q,
LOBAR-Q,,
MAMUK-Q,,
REBUL-Q,,
VIBOK-Q,,
DUQQI-Q,,
