id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
821,VLG9TW,02/05/2023 17:40:35,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A20N,Media,AGENA5Q,LEBL-24L
822,IBE30WR,02/05/2023 17:51:04,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DCT 4052N00040E 012(DORMI) 014(CRETA) NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A320,Media,SENIA5Q,LEBL-24L
823,RYR307W,02/05/2023 17:56:01,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,B738,Media,LARPA5Q,LEBL-24L
824,VLG76MR,02/05/2023 17:57:57,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
825,VLG89UQ,02/05/2023 17:59:12,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS MGA BRIKE VJF TAVSI RUNAX **,A320,Media,LOTOS5Q,LEBL-24L
826,VLG3728,02/05/2023 18:01:08,DR24LB F34BL BL800 NITBA BL809 BL810 DUNES SARGO 15MHN6 TETIS F06MH BALIO IF01MH FA01MH TH01MH,A320,Media,DUNES5Q,LEBL-24L
827,RYR92TG,02/05/2023 18:09:05,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO DCT 4023N00220E 008(LISAS) 3954N00205E 009(ADX) 3943N00200E 031(NEGRE) 015(OLPAM) TUTOT DCT IB911 DCT IB912 DCT IB913 DCT IB930 DCT DEMEV DCT TIVOM DCT OSNUK DCT FA06IB DCT TH06IB DCT,B738,Media,LARPA5Q,LEBL-24L
828,VLG6FP,02/05/2023 18:13:57,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA DCT MAROT DCT LUMAS **,A319,Media,AGENA5Q,LEBL-24L
829,SWR191N,02/05/2023 18:16:17,DR24LB F34BL BL800 BL805 BL812 DALIN DCT PIVUS DCT DIBER **,A320,Media,DALIN4Q,LEBL-24L
830,EWG76ZM,02/05/2023 18:18:03,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A320,Media,DALIN4Q,LEBL-24L
